Title	Presenters	Description	Audio	URL																				
Thoughts On Being Mormon and Human	Eugene England	Thoughts On Being Mormon and Human	DC00002	http://sunstonemagazine.com/audio/DC00002.mp3																				
Calculated Risk: Freedom for Mormons in Utah Higher Education	Eugene England	"Calculated Risk: Freedom for Mormons in Utah Higher Education The freedom society provides us to teach and study unpopular ideas is a calculated risk. Society taxes and contributes to make possible our expensive higher educational system because it accepts that academic freedom, despite the discomfort, even anger, it often creates, serves the long-term best interests of society. Societies that have most supported free inquiry and expression have consistently produced the greatest art and literature and also the best long-term solutions to political and social problems. The freedom accorded what Walter Lippmann called the “indispensable opposition” of minority viewpoints consistently produces more truth--and in the long run, more peace--for society. I trace the fortunes of academic freedom in Utah higher education over the past forty years and argue that it is presently greatest, for both Mormons and non- Mormons, not at the University of Utah or BYU but at Utah Valley State College. I explore ways it could and should be expanded elsewhere."	DC00003	http://sunstonemagazine.com/audio/DC00003.mp3																				
Teaching the Historical Jesus	David Barber	"Teaching the Historical Jesus Last year, David Barber was assigned as a teaching assistant to a philosophy course on contemporary historical Jesus research. The class was a learning experience for him. Not surprisingly, historians best accounts of the life and teachings of Jesus do not have much in common with the Sunday School stories of our youth. The class also served as a laboratory for the philosophy and psychology of religious belief. In his interaction with students from various faiths, David got glimpses into the structures of conflicts between individual faith and modern, secular thinking. These experiences will be discussed in the presentation, with a focus on the philosophical issues surrounding the attempts of various types of Christians to accommodate belief in a historical religion to new and problematic historical data."	DC00004	http://sunstonemagazine.com/audio/DC00004.mp3																				
"Strengthening the Members' Sense of Humor Committee; or, How I Became a Mormon Humor Apologist"	Edgar C. Snow	"Strengthening the Members' Sense of Humor Committee; or, How I Became a Mormon Humor Apologist Have you ever harbored suspicions there was something funny about Mormonism? Do you wake up nights with a sweaty feeling or dread that a mysterious church committee is keeping a file of your private antics to be laughed at from the rooftops on judgment day? Are you now aspiring or have you ever aspired to the calling of Ward Humorist? If you can answer yes to any of these questions, you may be one of the people from whom Ed has pilfered the ideas for this paper. He will examine the doctrine of humor as it has been taught in all dispensations and thereby prove true a now suppressed doctrine once taught by Brigham Young, who said: 'I sometimes think God must enjoy humor, and that he won't be strict in reckoning with a humorist.”"	DC00005	http://sunstonemagazine.com/audio/DC00005.mp3																				
Creation: The Tales of Many Stories	Mario R. Perez	"Creation: The Tales of Many Stories Unlike other topics in the scriptures the story of the creation is told at least four times throughout the LDS scriptures. These stories are not the same; they are somewhat complimentary, but certainly the message is not a unison code of harmony. A review of the creation stories, taken from the scriptures and its scientific counterpart, will be presented and analyzed in this paper."	DC00006	http://sunstonemagazine.com/audio/DC00006.mp3																				
Jesus was a Funny Guy: Satire in a Christian Community	"Michael Austin, Bruce Hayes"	"Jesus was a Funny Guy: Satire in a Christian Community This presentation will examine the historical roots of satire and distinguish it from other kinds of humor, such as invective, lampoon, and sarcasm. It will argue that one cannot 'satrinize” a specific community without being intimately connected to that community and honestly desiring its improvement. With this framework in mind, it will present Jesus' Sermon on the Mount as an example of effective community satire. The presentation will also analyze the rhetoric, themes, and social environment of Mormon-centric “news flashes” as satire, and discuss the possible intent behind them, their readership, and audience reactions."	DC00007	http://sunstonemagazine.com/audio/DC00007.mp3																				
Anti-Semitism in the Scriptures	Keith E. Norman	"Anti-Semitism in the Scriptures Both the Bible and the Book of Mormon point to 'the Jews” as responsible for the crucifixion of Christ. Historically, such interpretations have contributed to persecution and pogroms ranging from the crusades to the Holocaust. Were these scriptural authors really “anti-Semitic”? Or are we reading them out of context? And how does this fit with our overall understanding of the gospel and the scriptures? As reactions to the building of the BYU Jerusalem Center has shown, Mormons are vulnerable to the charge of anti-Semitism. Are we guilty?"	DC00008	http://sunstonemagazine.com/audio/DC00008.mp3																				
The Evolution of Mormon Teachings on Marriage and Celibacy	Robert Olsen	"The Evolution of Mormon Teachings on Marriage and Celibacy One of the contentious social issues in the United States is the nature of marriage. The Mormon Church has been actively involved in passing anti-gay legislation defining marriage as a union between a man and a woman. The presentation will explore evolution of Church teachings on marriage and celibacy and how celibacy, once condemned by the Church, has become the approved 'life style” for homosexuals. Gay church members are in a “Catch-22”--not permitted to have an intimate personal relationship because they are not married but are not allowed to marry."	DC00009	http://sunstonemagazine.com/audio/DC00009.mp3																				
"Surprise, Surprise: Reflections on the Oxymoronic Question of Mormon Humor"	Elouise M. Bell	"Surprise, Surprise: Reflections on the Oxymoronic Question of Mormon Humor Last year, an associated press writer raised, yet one more time, the question of Mormon humor. He interviewed a variety of equally befuddled theorists, humorists, apologists, and DeGenerists in an attempt to arrive at the crux of Latter-day Saint levity. The reporter may be excused for his failure to understand that Mormons do not believe in the crux. That explains, in part, his inconclusive findings. In this brief meditation, Eloise Bell will explain why, for the most part, Mormons feel duty-bound to avoid even the appearance of humor."	DC00010	http://sunstonemagazine.com/audio/DC00010.mp3																				
David O. McKay and Blacks: Building the Foundation for the 1978 Revelation	Gregory A. Prince	"David O. McKay and Blacks: Building the Foundation for the 1978 Revelation Shortly after David O. McKay became church president in 1951 he traveled to South Africa, the first church president to visit that country. While there, he made an important and impromptu change in the church policy regarding ordination of blacks. While not reversing that policy, he significantly changed the procedure for determining whether South Africans had lineage that disqualified them from priesthood ordination. Several years later, in the face of attempts by the church to establish a foothold in Nigeria, he and his counselors gave serious consideration to the possibility of reversing the exclusionary policy. The subject rose again in the context of the American Civil Rights Movement in the mid-and-late 1960's, and appeared headed for resolution in 1969, although this was due to misinterpretation of President McKay's intent. A flurry of activity by important General Authorities in the final months of President McKay's life served first to raise, then to dash the hopes of those who sought a reversal of the policy."	DC00011	http://sunstonemagazine.com/audio/DC00011.mp3																				
The Turkmens' Magic World View	Michael P. Blackwell	"The Turkmens' Magic World View While years of Soviet domination added new elements to the intellectual life and culture of the Central Asian peoples, it at the same time reinforced the region's geographic isolation and served to lessen the impact of external secularizing influences. As a result, many ancient traditions and values were preserved little changed. Based on her research on Turkmen women and their folksongs, Carole Blackwell describes the 'magic world view' that still prevails in Turkmenistan. In an afterword, Michael points out some similarities to the magic world view described by Michael Quinn in his study of Joseph Smith's New England."	DC00012	http://sunstonemagazine.com/audio/DC00012.mp3																				
Beyond Liberalism: Mormonism and Liberation Theology	James Tobler	"Beyond Liberalism: Mormonism and Liberation Theology Within the last 50 years or so a number of religions have developed a well-defined and specific theology which challenges many of the injustices in the world today. The term Liberation Theology refers to political activists whose activism is based on religious values. Liberation Theology is not passive, nor submissive but is most often militant and confrontational. This paper addresses the question of whether or not left activism is an avenue which Mormons should consider as a way to better live their religion, and, consequently, why many of us may want to consider a leisure day of tear gas and rubber bullets to protest the IMF/World Bank on Sunday April 16th."	DC00013	http://sunstonemagazine.com/audio/DC00013.mp3																				
Pillars Of My Faith	"Charlie Cannone, Rebecca Chandler, Elbert Peck"	Pillars Of My Faith This is Sunstone's perennially most popular session. Here speakers share the events and concepts that animate their religious lives: a little intellectual testimony-bearing. This self-reflective session is about the things that matter most.	DC00014	http://sunstonemagazine.com/audio/DC00014.mp3																				
The Restoration of Some Things	Clay L. Chandler	"The Restoration of Some Things In 1840 Joseph Smith declared that animal sacrifices would be restored once the Nauvoo Temple was completed and that this was necessary to bring to pass the 'restoration of all things.” While modern Mormons would most likely be shocked at the thought of including animal sacrifice in their Temple worship, and no temples have been built with sacrificial altars, the requirement to eventually reestablish the ancient rite has never been repudiated. Since the Book of Mormon clearly states that all sacrifices have their end with Jesus' “great and last” sacrifice, it is puzzling that Joseph Smith would have found such a restoration necessary. The answer to the puzzle lies in the millennial hopes and dreams of the early Mormons and in the restorationist theology of the Burned-over District. Clay's paper will explore that history, examine the eschatological theology behind it, and explain how it was supported in most instances by creative misinterpretation of scripture."	DC00016	http://sunstonemagazine.com/audio/DC00016.mp3																				
I Heard It On The Grapevine: The Positive Uses of Church Gossip	Karen D. Austin	"I Heard It On The Grapevine: The Positive Uses of Church Gossip This paper examines the ways gossip functions as a 'speech act,” one that transforms the relationship between the two speakers. The paper will also examine how this type of unofficial talk influences the dynamics of a social group -- such as a ward -- in ways that contradict and complicate formal channels of communication. Even though the title highlights the positive function of gossip -- primarily in the creation of intimacy between those who swap gossip -- Karen Austin will address some of the complications created by these unofficial and untamed speech acts."	DC00017	http://sunstonemagazine.com/audio/DC00017.mp3																				
Marvelous Work & Blunders: Mormon Humor Readings	"Elouise M. Bell, Robert Kirby, Edgar C. Snow"	"Marvelous Work & Blunders: Mormon Humor Readings Eloise Bell will read a few selections from 'Madame Ridiculous and Lady Sublime,' her new collection of essays to be published in the fall by Signature Books. Ed Snow will likely read from his book, 'Of Curious Workmanship: Musings on Things Mormon', which was just released from Signature Books. Robert Kirby will read from one or more of his numerous books and columns, or from whatever he feels so prompted at the time."	DC00018	http://sunstonemagazine.com/audio/DC00018.mp3																				
"Barbie-shop Network, The Sweeney Sisters"	"Janelle Clark, Becky Linford, Jinelle Monk"	"Barbie-shop Network, The Sweeney Sisters"	DC00019	http://sunstonemagazine.com/audio/DC00019.mp3																				
When Pittsburgh Meets Utah: Mormonism’s Structural Resistance To Diversity	Cecillia Konchar Farr	"When Pittsburgh Meets Utah: Mormonism’s Structural Resistance To Diversity Five years after her very public leave-taking from Brigham Young University, Professor Farr found herself still fielding questions about that part of her life she thought she had left behind. More disturbing, she found she was still angry--but not at what the questioners imagined. Following the same path she took as a developing feminist theorist, Cecilia traces the stages in her response to BYU, from consciousness-raising to personal offense at individual oppressors to activism and vigorous (sometimes detached) critique of the systems of oppression. She concludes that frustration with systemic oppression is a powerful force for activists and theorists, one that can be harnessed to facilitate social change."	DC00020	http://sunstonemagazine.com/audio/DC00020.mp3																				
Pianos & Drums: Taking The Gospel Global. What's Universal? What's Cultural? Lessons From Africa	"Barnard S. Silver, Paul Clark, Gretchen Clark, Homer Lebaron, Norman Bangerter, Hollis Johnson"	"Pianos & Drums: Taking The Gospel Global. What's Universal? What's Cultural? Lessons From Africa In her forthcoming book (fall 2000), Jan Shipps concludes that the last four decades of correlating and streamlining Church programs, materials, and procedures has resulted in the dislodging of Mormonism from its culture of origin and the transforming of it into a religion that can be applied in many different cultures around the world. Every would-be world religion confronts this challenge; darn few succeed. Pioneer stock Mormons who lament the loss of roadshows and bazaars would get little comfort from the Apostle Paul, who told Jewish Christians the Gentile converts did not have to keep the Jewish feast days and traditions. For him, the testimony of Jesus, becoming a new creation, and the unifying Lord's Supper were the universal demands. And yet, ironically, his epistles give specific, opinionated, instructions to the struggling convert congregations. This same dualism between implementing tested ways and allowing cultural diversity exists as the latter-day Zion spreads abroad. Mormonism's twenty-year engagement in Africa shows how our American-born religion must change to be preached and practiced in every tongue. As this panel reflects on their experiences as Church leaders in Africa, we can glimpse and marvel at the work of the Spirit as Mormonism changes Africans and as Africans change Mormonism. Just what is happening? What are the practical, logistical demands in establishing the Church? What long-held assumptions had to be jettisoned? Who joins? Who stays? What traditional Mormon (American?) ways work? Which don't? What can't be changed? How easy is it to separate the gospel from culture? What about spirituality from culture? Is having one world-wide Church program realistic, or will we eventually delegate and decentralize program development? Even in replacing one culture's arbitrary ways with another's, how much diversity even in cultural things can one Church bear? What challenges have we overcome, and what ones loom on horizon? What might a mature Mormon Church in Africa be like?"	SL00001	http://sunstonemagazine.com/audio/SL00001.mp3																				
"Joseph Smith, The Smith Family, And The Coming Forth Of The Book Of Mormon: A Family Systems Approach"	C. Jess Groesbeck	"Joseph Smith, The Smith Family, And The Coming Forth Of The Book Of Mormon: A Family Systems Approach The coming forth of the Book of Mormon is a story of epic proportions in religious history. Interestingly, behind the story of the visitation of angels, such as Moroni, and the miraculous coming forth of this divine book is an untold story of family struggle, sacrifice, and remarkable experiences. This paper will explore from a family systems approach the dynamic relationships in the Smith family that led to the coming forth of this divine scripture. There will be presented new historical material with new interpretations of this remarkable odyssey in Mormon history."	SL00111	http://sunstonemagazine.com/audio/SL00111.mp3																				
New Light On The Mormons 19th-Century Western Infantry: A Discussion Of Will Bagley's And David Bigler's Army Of Israel	"Jake Zollinger, Scot Denhalter, Will Bagley"	"New Light On The Mormons 19th-Century Western Infantry: A Discussion Of Will Bagley's And David Bigler's Army Of Israel From General Daniel Tyler's classic account of the 1850s to Norma Ricketts's scholarly work nearly 150 years later, the Mormon Battalion continues to fascinate historians and history buffs. Recruited in 1846 to aid the United States in its war with Mexico over claims to California, the Battalion has been called “the most unusual body of men ever to serve in America's armed forces.” Through primary documents, Will Bagley and David Bigler, in volume four of Arthur H. Clark Company's Kingdom in the West series, take a fresh look at the men, women, and events--many long forgotten--that tell what they say is the real story surrounding this important moment in western American and Mormon history."	SL00113	http://sunstonemagazine.com/audio/SL00113.mp3																				
A Different (Yet Still Firm?) Foundation: Non-Relativistic Ethics Within A Finitistic Theology	Kim McCall	"A Different (Yet Still Firm?) Foundation: Non-Relativistic Ethics Within A Finitistic Theology At this symposium twenty years ago, I took up the challenging question of the grounds of moral obligation in a universe that isn't ultimately founded in God's creative acts. In what sense can He command, and what makes anything right or wrong? A commentator complained that my point of view results in an “antinomian, relativistic ethic.” We were recently both quoted in Richard and Joan Ostling's Mormon America. A revisit is long overdue, both because this vital issue appropriately refuses to die, and because this fear of ethical relativism (combined with the great PR value of Mormonism's image as a bastion of morality) may be one of the enticements tempting many toward “the fleshpots of [modern Christian] orthodoxy.” I argue that, although fundamental LDS beliefs should, indeed, radically recast our understanding of moral law, they do not lead to relativism, properly understood. Indeed, they encourage the sort of personal moral experience that best promotes the kind of moral growth and development that are the purpose and design of our mortal existence."	SL00122	http://sunstonemagazine.com/audio/SL00122.mp3																				
Joseph At Christmas	Jody England Hansen	"Joseph At Christmas I became a mother of daughters in the midst of a heightened feminist awareness. Teaching them of this awareness and helping them develop their own seemed a natural part of being their mother. Then my son was born, and I wondered whether I should teach him the same way I did my daughters. Could I teach him the same way? What does it mean to raise a feminist son, and how is that different from raising a Christian son? This essay shares some of my experiences in working through this process"	SL00123	http://sunstonemagazine.com/audio/SL00123.mp3																				
LDS 'Headquarters Culture' And The Rest Of Mormonism: Past And Present	D. Michael Quinn	"LDS 'Headquarters Culture' And The Rest Of Mormonism: Past And Present The Mormon doctrine of “Gathering” created a distinctive culture at the headquarters of the LDS church. During founder Joseph Smith's life, this “headquarters culture” had pronounced differences of theology, Church practice, and culture from the experience of Mormons who lived distant from the headquarters. This had profound consequences following Joseph's 1844 martyrdom. This paper examines the significance and changes of LDS headquarters culture in Smith's lifetime, in pioneer Utah Mormonism, and in 20th-century Mormonism. I also suggest possible directions for the headquarters culture in the 21st century. In addition to emphasizing the distant past, this presentation invites the audience to participate in walking down “Memory Lane” by sharing their own experiences with this dynamic."	SL00124	http://sunstonemagazine.com/audio/SL00124.mp3																				
"Against The Grain: An Interview With Historian, Educator, And Author Brigham D. Madsen"	"Brigham D. Madsen, George D. Smith"	"Against The Grain: An Interview With Historian, Educator, And Author Brigham D. Madsen As chief historian for Patton's Third Army in Germany and observer of WWII War crimes trials at Nuremberg, Brig Madsen honed empirical skills he applied to an illustrious career as a Peace Corps manager in Washington, D.C., Vice President and history chair at the University of Utah, and award-winning author of fifteen books, including The Shoshoni Frontier and the Bear River Massacre, and editor of B.H. Roberts's Studies of the Book of Mormon. Among the topics discussed will be Mormon historiography, treatment of Native Americans in Utah, his association with pillars of the community like Sterling M. McMurrin, and his opinions of the history and culture of Utah."	SL00130	http://sunstonemagazine.com/audio/SL00130.mp3																				
"Is Evil Necessary?: Good, Evil, Sin, And The Nature Of Reality with additional paper on Eternal Spirits And The Necessity Of Contingency"	Janice Allred	"Is Evil Necessary?: Good, Evil, Sin, And The Nature Of Reality with additional paper on Eternal Spirits And The Necessity Of Contingency The prophet Lehi asserted that “it must needs be, that there is an opposition in all things.” The opposition between good and evil is often regarded as the fundamental opposition. But if evil were an essential part of reality, if it were necessary, would it not in some sense be good, because good would depend on it? If good and evil were inextricably connected, how could we distinguish between them? I will explore these questions and show that the belief that evil is a necessary part of reality has far-reaching and pernicious consequences. An alternate view of the nature of reality, which sees the feminine- masculine duality as the fundamental opposition in universal reality, will be presented. I will also distinguish sin from evil and argue that while sin is an inevitable part of existence, evil is not. 2nd Abstract- (Dr Huff) I use the work of contemporary philosopher Alvin Plantinga to draw support for the LDS belief that persons exist uncreate. Plantinga presents perhaps the most convincing explanation by a traditional Christian of how there can be evil in the creation of a perfectly good and perfectly powerful creator. However, Plantinga concedes there must be a contingent state of affairs that holds independent of God's will. I argue this concession entails a greater compromise to the classical notion of God's sovereignty than Plantinga admits."	SL00132	http://sunstonemagazine.com/audio/SL00132.mp3																				
Mormon America: How Is The Reporting In The New Nationally Published Tome On Mormonism?	"Armand L. Mauss, Rod Decker, Dean L. May"	"Mormon America: How Is The Reporting In The New Nationally Published Tome On Mormonism? Last fall, nationally respected HarperSanFrancisco published Mormon America: The Power and the Promise by veteran Time religion writer Richard Ostling and journalist/editor Joan Ostling. After sketching Mormon history, with the balance and judgment of long-time Mormon watchers, the authors chronicle the major themes, practices, doctrines, and controversies, of the contemporary LDS--including polygamy, the move from separate kingdom into the American mainstream, the “power pyramid,” forever families and temple secrecy, missionaries, faithful history, Book of Mormon historiography, “Mormons, Inc.,” becoming Gods, dissent, BYU culture wars, and the prospects for the twenty- first century. Incredibly, there was no book that outlined the contours of contemporary Mormonism: Mormon America fills that vital and lucrative niche. Undoubtedly, it will be the primer for the 9,000 journalists who will attend the 2002 Winter Olympics in Salt Lake City, and it may well be the standard, one-volume book on Mormonism for the next decade or two. What do seasoned Mormon insiders think of the book? Here are the opinions of three of the best."	SL00133	http://sunstonemagazine.com/audio/SL00133.mp3																				
The Academic Study Of Religion: Prospects And Perils	"Dan Wotherspoon, Brian Birch, Elaine Englehardt, Eugene England, Mary Ellen Robertson, Scott Kenney"	"The Academic Study Of Religion: Prospects And Perils The recent announcement that early steps have been taken toward establishing a Mormon Studies program at Utah Valley State College has generated much excitement among many who have long felt a need for such a program at one of Utah's state schools, but it has also raised concerns on two fronts. Some have begun to worry that such a program could easily become a forum for Mormon apologetics, even proselyting, while others voice concerns about it as “yet another forum for Mormon bashing.” This panel, consisting of UVSC faculty, as well as others with experience studying religion-- including their own--from an academic perspective, will address these and other issues as they consider both the “prospects” and the “perils” of such an adventure."	SL00134	http://sunstonemagazine.com/audio/SL00134.mp3																				
"Entonces Y Ahora, Then And Now: A Look At The New Spanish Hymnal"	"John-Charles Duffy, Hugo Olaiz"	"Entonces Y Ahora, Then And Now: A Look At The New Spanish Hymnal In 1992, the Church produced a new Spanish- language hymnal, the first since 1942. How does the 1992 hymnal compare with its predecessor? How does it compare to the 1985 English hymnal? How have cross-cultural considerations affected it? What contribution, if any, has Latino culture made to LDS hymnody? At a time when Spanish will soon become the most-spoken language in the Church, what does the new Spanish hymnal imply about the Church's understanding of what it means to be an international religion?"	"SL00151,"	"http://sunstonemagazine.com/audio/SL00151,.mp3"																				
American Religion And The Third Transformation Of Mormonism	Philip L. Barlow	"American Religion And The Third Transformation Of Mormonism The paper argues that mainstream Mormonism has experienced three transformations since its formal organization in 1830. In the last several decades, it has entered its fourth stage or form. These stages are deeply linked to geography, the space that Mormonism inhabits and interprets. Comprehension of these stages and their connections to interpreted space can help us better appreciate Mormon history and the Mormon present. Such comprehension also has implications for understanding other religions of America and the world."	SL00152	http://sunstonemagazine.com/audio/SL00152.mp3																				
Anti-Masonry In The Book Of Mormon Revisited	"Dan Vogel, Blake T. Ostler"	"Anti-Masonry In The Book Of Mormon Revisited Does the Book of Mormon description of ancient Gadianton bands and its warning about latter- day “secret combinations” reflect 19th-century concerns about Freemasonry? Many in Joseph Smith's day, including Martin Harris, thought so. So, on what grounds do Mormon apologists resist this early interpretive consensus? In particular, this paper will examine and respond to the various arguments put forth primarily by Richard L. Bushman, Blake T. Ostler, D. Michael Quinn, and Daniel C. Peterson against the anti- Masonic interpretation of the Book of Mormon."	SL00153	http://sunstonemagazine.com/audio/SL00153.mp3																				
Ward Stories: Front-Line Tales Of Working Mormon Community	Carol B. Quist	"Ward Stories: Front-Line Tales Of Working Mormon Community How is your ward as true as the gospel? Panelists share inspiring glimpses of church community: a calling that stretched their understanding and compassion, a leader or teacher who changed lives for the better, a lesson learned in the course of everyday church service. In the course of their presentations, panelists will focus on what works in Mormon community and how a congregation can be strengthened."	SL00154	http://sunstonemagazine.com/audio/SL00154.mp3																				
Now It's Her Turn: Fawn McKay Brodie: A Biographer's Life	"Allen D. Roberts, William Mulder, Newell G. Bringhurst"	"Now It's Her Turn: Fawn McKay Brodie: A Biographer's Life Fawn McKay Brodie is best known for her controversial biographies of Joseph Smith and Thomas Jefferson. Mormon leaders denounced her interpretation of their prophet and excommunicated her. Yet No Man Knows My History has remained in print for over 55 years. American historians were also skeptical of Thomas Jefferson: An Intimate History, especially her claim that Jefferson had had an affair and children with one of his slaves--a claim that DNA evidence now seems to have vindicated. Now it is Brodie herself who is under scrutiny. After years of research, author Newell Bringhurst has now published his biography of this unusual historian. The Mormon History Association recently awarded it “Best Biography.” Will our critics agree with the MHA judges?"	SL00161	http://sunstonemagazine.com/audio/SL00161.mp3																				
Mormon Publishing In The 90's: From The Silly To The Sublime	"Gerg Kofford, Tom Kimball"	"Mormon Publishing In The 90's: From The Silly To The Sublime This paper and slide presentation will show some of the oddities, absurdities, trends, and triumphs of the Mormon publishing world of the 1990s. Some of the items are rare and obscure and have been seen by only a handful of people."	SL00162	http://sunstonemagazine.com/audio/SL00162.mp3																				
"Martin Harris: The Kirtland Years, 1831-1870"	H. Michael Marquardt	"Martin Harris: The Kirtland Years, 1831-1870 Martin Harris is known for being a scribe for the Book of Mormon text that was subsequently lost. Harris was an original member of the Kirtland Stake High Council. In 1837, he along with other church members had a falling out with church officials. He helped incorporate the Church of Christ in 1838. Little is known about his activities while living in Kirtland for 39 years. This paper will present what is known about Martin Harris and his relation to other Restoration churches, his acceptance of James J. Strang as Joseph Smith's successor, and other experiences."	SL00163	http://sunstonemagazine.com/audio/SL00163.mp3																				
Building Successful Relationships Based On Equality	Renee Carlson	"Building Successful Relationships Based On Equality Abstract Too often the priesthood issue makes it difficult to know how to successfully be part of an LDS couple and achieve true equality. The Proclamation on the Family, for example, promotes both honoring the priesthood and equal partnership in marriage. I will discuss how to resolve the confusion and show why a mindset of equality from the start is essential for a relationship to work. Partnership skills in negotiation, in communication, and in establishing an atmosphere of intimacy are key. Attendees will be encouraged to ask questions and be part of the discussion."	SL00164	http://sunstonemagazine.com/audio/SL00164.mp3																				
"Paper 1 - DNA On The Witness Stand Pager
Paper 2 - The Tree Of Life"	"D. Jeffery Meldrum, Trent D. Stephens"	"Paper 1 - DNA On The Witness Stand Pager
1- Examples from today's headlines illustrate the forensic application of DNA techniques to identify individuals and establish relatedness between family members. These very same techniques, accepted as authoritative in the court room, are applied by science to address the question of humans' nearest relatives in the animal kingdom. The DNA testifies of the continuity with nature and a close relationship between humans and African apes, with a common ancestor as recent as 5-7 mya. Corroborating evidence mounts as an ever- expanding fossil record documents an African origin of hominids and the evolutionary transition to the modern human physical tabernacle.
Paper 2 - The Tree Of Life 2- Abstract How can the scientific data, which suggest that we descended from animals that lived and died on this planet for millions of years, be reconciled with the religious perspective that Adam and Eve, the first humans, were immortal? There are two distinct possibilities concerning the nature of their immortality. Either Adam and Eve were created inherently immortal or they were created as mortals and were made immortal by their circumstances within the Garden. If Adam and Eve were inherently immortal, what was the function of the Tree of Life in the Garden of Eden?"	SL00171	http://sunstonemagazine.com/audio/SL00171.mp3																				
"The Agony And Ecstasy Of Getting The New Conference Center Organ And Acoustics Just Right, And P.S., The Walnut Podium, Too"	Paul Fetzer	"The Agony And Ecstasy Of Getting The New Conference Center Organ And Acoustics Just Right, And P.S., The Walnut Podium, Too This session will tell the remarkable story of the fasting, praying, asking, relaying, meditating, designing, drafting, conferring, and crafting that went into making this marvelous musical instrument become a sight and sound of beauty."	SL00172	http://sunstonemagazine.com/audio/SL00172.mp3																				
The Smoke Still Lingers: The Mark Hofmann Affair Fifteen Years Later	"Steve Mayfield, Brent Ashworth, George Throckmorton"	"The Smoke Still Lingers: The Mark Hofmann Affair Fifteen Years Later In 1985, Mark Hofmann killed two innocent people with pipe bombs he had constructed in an attempt to cover growing suspicions and uneasiness related to his dealings in Mormon documents. As investigations eventually exposed Hofmann as a forger and murderer, the story does not end with his conviction and imprisonment. Besides the tragic and lasting consequences for the families involved, the effects of Hofmann's career as a forger and con man remain, as document dealers and collectors continue to purchase previously unknown Hofmann forgeries, struggle to overcome the financial loss from items purchased before 1985, and otherwise deal with unanswered questions that remain."	SL00173	http://sunstonemagazine.com/audio/SL00173.mp3																				
"Little Mormon Magazines: Sinking, Swimming, And Treading Water"	"Lavina Fielding Anderson, Tory Anderson, Chris Bigelow, Tessa Santiago"	"Little Mormon Magazines: Sinking, Swimming, And Treading Water The eagerness of Mormons to communicate about issues of interest has led to the launching of many special-interest periodicals, beginning in 1833 with the Evening and Morning Star in Independence, Missouri. But not all of these little ships make it past shoals to the deep ocean of exciting voyages. This knowledgeable panel will identify their secrets for assuring prosperous publishing."	SL00174	http://sunstonemagazine.com/audio/SL00174.mp3																				
"Mormonism On The Big Screen: What To Make Of Richard Dutcher's Motion Picture Success, God's Army?"	"Troy Williams, Geoff Pingree, Barbara Bannon, Tim Solver Richard Dutcher"	"Mormonism On The Big Screen: What To Make Of Richard Dutcher's Motion Picture Success, God's Army? Utahans have flocked to see God's Army more than any other movie this year. Since opening in Salt Lake City in March, it has played, is now playing, and continues to open in major cities throughout the United States, and will soon be released internationally. What are people saying about a movie based on the exploits of an apartment of Mormon missionaries serving in Los Angeles? Does its success mean that there's a viable big-screen market for LDS films and LDS audiences? Is God's Army the breakthrough Saturday's Warrior for Mormon film, and can we now expect a flood of copycats? What lessons should be learned about telling Mormon stories to Mormons. And is Mormonism at the point where orthodox artists can tell their stories in ways that resonate within and beyond the LDS community? Come, hear what thoughtful critics and the filmmaker have to say."	SL00191	http://sunstonemagazine.com/audio/SL00191.mp3																				
Calculated Risk: The quest for Freedom and Diversity in Utah Higher Education	Eugene England	"Calculated Risk: The quest for Freedom and Diversity in Utah Higher Education The freedom society provides us to teach and study unpopular ideas is a calculated risk. Society taxes and contributes to make possible our expensive higher educational system because it accepts that academic freedom, despite the discomfort, even anger, it often creates, serves the long-term best interests of society. Societies that have most supported free inquiry and expression have consistently produced the greatest art and literature and also the best long-term solutions to political and social problems. The freedom accorded what Walter Lippmann called the “indispensable opposition” of minority viewpoints consistently produces more truth--and in the long run, more peace--for society. I trace the fortunes of academic freedom in Utah higher education over the past forty years and argue that it is presently greatest, for both Mormons and non- Mormons, not at the University of Utah or BYU but at Utah Valley State College. I explore ways it could and should be expanded elsewhere."	SL00211	http://sunstonemagazine.com/audio/SL00211.mp3																				
"Spirituality and the Arts: Music, Books, and Movies That Have Enlarged My Soul and Religious World View"	"Scott Sorenson, Jane England"	"Spirituality and the Arts: Music, Books, and Movies That Have Enlarged My Soul and Religious World View The arts have been a source of inspiration and enlightenment from the beginnings of humankind's spiritual awakenings. As people find meaning in the messages of poetry and biography, cult films and classics, and the varied genres of music, Sunstone is the perfect place to share these experiences. Come listen to how the arts have played a vital role in the spiritual journeys of our panelists."	SL00212	http://sunstonemagazine.com/audio/SL00212.mp3																				
The Decade of the Sixties: The Early Struggles in the RLDS Shift from Sect to Denomination	William D. Russell	"The Decade of the Sixties: The Early Struggles in the RLDS Shift from Sect to Denomination This is a discussion of how, during the 1960s the RLDS Church made very decisive steps toward shedding its sectarian past. It began the decade clearly rooted in the sectarian worldview. But by the end of the decade, many of the church's leaders and a reasonable number of its members had adopted liberal views, down-playing traditional unique Latter Day Saint doctrines"	SL00213	http://sunstonemagazine.com/audio/SL00213.mp3																				
